"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","463","Verify abandoned cart search health","","2026-01-30","passed","2026-01-30","","API Health Check - POST Read APIs","Verify abandoned cart search health",""
"","458","Verify GET API health","","2026-01-30","passed","2026-01-30","","API Health Check - Simple GET APIs","Verify GET API health",""
"","454","Verify GET API health","","2026-01-30","passed","2026-01-30","","API Health Check - Simple GET APIs","Verify GET API health",""
"","620","Verify GET API health","","2026-01-30","passed","2026-01-30","","API Health Check - Simple GET APIs","Verify GET API health",""
"","815","Verify GET API health with params","","2026-01-30","passed","2026-01-30","","API Health Check - GET APIs with Params","Verify GET API health with params",""
"","839","Verify GET API health with params","","2026-01-30","passed","2026-01-30","","API Health Check - GET APIs with Params","Verify GET API health with params",""
"","527","Verify GET API health","","2026-01-30","passed","2026-01-30","","API Health Check - Simple GET APIs","Verify GET API health",""
"","439","Verify GET API health with params","","2026-01-30","passed","2026-01-30","","API Health Check - GET APIs with Params","Verify GET API health with params",""
"","465","Verify GET API health with params","","2026-01-30","passed","2026-01-30","","API Health Check - GET APIs with Params","Verify GET API health with params",""
"","1432","Verify GET API health","","2026-01-30","passed","2026-01-30","","API Health Check - Simple GET APIs","Verify GET API health",""
"","421","Verify GET API health","","2026-01-30","passed","2026-01-30","","API Health Check - Simple GET APIs","Verify GET API health",""
"","601","Verify abandoned cart search health","","2026-01-30","passed","2026-01-30","","API Health Check - POST Read APIs","Verify abandoned cart search health",""
"","520","Verify GET API health with params","","2026-01-30","passed","2026-01-30","","API Health Check - GET APIs with Params","Verify GET API health with params",""
"","533","Verify GET API health","","2026-01-30","passed","2026-01-30","","API Health Check - Simple GET APIs","Verify GET API health",""
"","587","Verify GET API health","","2026-01-30","passed","2026-01-30","","API Health Check - Simple GET APIs","Verify GET API health",""
"","438","Verify GET API health with params","","2026-01-30","passed","2026-01-30","","API Health Check - GET APIs with Params","Verify GET API health with params",""
"","501","Verify GET API health with params","","2026-01-30","passed","2026-01-30","","API Health Check - GET APIs with Params","Verify GET API health with params",""
